sample_id	source_index	page	image_file	image_sha256	image_bytes	gw_error	vl_error	gw_seconds	vl_seconds	v1_verdict	v1_reason	v1_signals_json	gw_chars	gw_hangul	gw_han	gw_cjk_ratio	gw_headings	gw_tables	gw_critical_patterns	gw_top2_ratio	gw_top3_ratio	gw_top4_ratio	gw_top5_ratio	vl_chars	vl_hangul	vl_han	vl_cjk_ratio	vl_headings	vl_tables	vl_critical_patterns	vl_top2_ratio	vl_top3_ratio	vl_top4_ratio	vl_top5_ratio	gw_output_sha256	vl_output_sha256
S01	3	22	page_images/S01_01_운정지역주택조합_대리사무_채권자대위권등_신창근외17_상대방_소장_pdf_p22.jpg	e7f455166c01b0ebb422a4e386dccb9bf2b9e24b3afb92eaadce829aab496fe6	298233	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.143	1.32	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S02	10	34	page_images/S02_01_세종시_대평동_관토신_서울중앙_분양대금등반환_소미영_소장_pdf_p34.jpg	0f708a6f6122191669962f724e6f153f6bf37eb29f5d21ebd038ff775a5a4686	459439	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.013	1.146	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S03	14	31	page_images/S03_01_고양시_향동동_관토신_서울중앙_기타_금전_정재석외2_소장_pdf_p31.jpg	4156325dba99a65beda2576dee32106c5a8acc5b6761b4105e872bb466eb5752	409987	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.013	1.194	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S04	17	52	page_images/S04_01_시흥시_장현지구_분관신_대리사무_수원지법_성남지원_납입금_반환_등_청구의_소_박은_p52.jpg	071d5b6a391a17cfb3357678e4eb403a821f361e62b8a3cbff5a71269d6e78d1	480602	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.013	1.154	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S05	18	128	page_images/S05_01_서울_서초구_관토신_책준_대구지법_계약금반환_남경은_소장_pdf_p128.jpg	ad2ae531ad1d9c17a47a79a29f7aaae56da9efed44fe12f923a36883f0e59797	464909	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.012	1.156	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S06	19	35	page_images/S06_01_양주시_옥정동_관토신_책준_서울중앙_분양대금반환등_장성근_소장_pdf_p35.jpg	4ba852eef9680cb1e1ee59ba35866fd1ec19954f5b92dabebb23bbca03fbc5ca	516652	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.012	1.149	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S07	20	41	page_images/S07_01_인천시_청라동_관토신_책준_서울중앙_가처분이의_주_디벨럽팩토리_심문기일통지서_가처_p41.jpg	99e68b21ef9b9181c4f73ea642aeb3f59a8a9b0192e376e05f03913932f7909b	410912	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.014	1.163	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S08	24	419	page_images/S08_01_경산삼남지역주택조합_대리사무_대구지법_손해배상_기_강성대외95_소장_pdf_p419.jpg	c261a6dce840347daef024a373b4a9097a442dd5c7b30ae333dc31c4109f56dd	192261	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.015	1.139	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S09	26	270	page_images/S09_01_창원시_팔용동_관토신_서울중앙_손해배상_등_이경연외2_소장_pdf_p270.jpg	b430eca3848e5a0ee17e865b8d9143a799eea834ccc50699b3e6de48f468ed42	206732	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.025	1.183	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S10	35	18	page_images/S10_01_남양주시_금곡리_대리사무_서울중앙_추심금_김성수_소장_pdf_p18.jpg	4b11d0cbe575fe106d2285f7e4f83c5f1d84dfe944bbf0d2dfef0d8470e2f68e	161733	ConnectError: [Errno 8] nodename nor servname provided, or not known	empty	0.014	1.112	engine_error	게이트웨이 오류: ConnectError: [Errno 8] nodename nor servname provided, or not known	"{""chars_after"": 0, ""chars_before"": 0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
